,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
1067,Адвокат дьявола,"В Нью-Йорк по приглашению главы крупного юридического концерна прибывает Кевин Ломакс, молодой адвокат. До этого он был известен тем, что защищал исключительно негодяев и притом не проиграл ни одного процесса. На новом месте работы он вполне счастлив, он живет в роскошной квартире с любящей женой, его окружают интересные люди.",8.166,10.0,399257.0,"['триллер', 'фэнтези', 'драма', 'детектив']",True,Энн Копельсон,Тейлор Хэкфорд,"['США', 'Германия']",144,1997
1068,Я иду искать,Когда брачная ночь — кровавая игра на выживание. Хоррор-комедия с Самарой Уивинг о безумной семейной традиции. Смотрите онлайн на Кинопоиске.,6.921,10.0,252629.0,"['триллер', 'комедия', 'ужасы']",False,Дэниэл Бекерман,Мэттью Беттинелли,['США'],95,2019
1069,Ford против Ferrari,Автоконструктор и строптивый гонщик против непобедимых конкурентов. Биографическая драма о любви к скорости. Смотрите онлайн на Кинопоиске.,8.23,10.0,561973.0,"['биография', 'спорт', 'драма', 'боевик']",True,Джон Бернард,Джеймс Мэнголд,['США'],152,2019
1070,Пленницы,"Келлер Довер сталкивается с самым большим кошмаром каждого родителя: его шестилетняя дочь пропала вместе с подругой. Время бежит, девочки не возвращаются, и паника достигает своего предела. Единственная зацепка - обветшалый фургончик, который был припаркован на их улице, когда девочки играли во дворе. Детектив Локки, возглавляющий расследование, арестовывает его водителя, Алекса Джонса, но вскоре полиция вынуждена его отпустить из-за нехватки улик. Полиция медлит, а обезумевший от горя отец берет дело в свои руки. Но как далеко готов зайти Келлер в поисках девочек?",7.767,10.0,231979.0,"['триллер', 'драма', 'криминал', 'детектив']",True,Кира Дэвис,Дени Вильнёв,['США'],153,2013
1071,Моана,Дочь вождя и упрямый полубог спасают природу от гибели. Странствие по океану с песнями и испытаниями. Смотрите онлайн на Кинопоиске.,7.76,10.0,383884.0,"['мультфильм', 'мюзикл', 'фэнтези', 'комедия', 'приключения', 'семейный']",True,Николь П. Хирон,Рон Клементс,['США'],107,2016
1072,Меч короля Артура,"Молодой Артур живёт на задворках Лондиниума вместе со своей бандой. Он и понятия не имел о собственном королевском происхождении, пока однажды не взял в руки меч Экскалибур. Меч начинает менять Артура. В результате он присоединяется к сопротивлению и таинственной молодой девушке по имени Гвиневра. Ему предстоит научиться понимать магическое оружие, которым он овладел, преодолеть себя и объединить народ в борьбе против диктатора Вортигерна, убившего его родителей и завладевшего короной.",7.154,10.0,279306.0,"['фэнтези', 'боевик', 'драма', 'приключения']",True,Брюс Берман,Гай Ричи,"['Великобритания', 'США', 'Австралия']",126,2017
1073,Место под соснами,"Мотокаскадер Люк Глэнтон совершает турне из одной провинции в другую, показывая свои каскадерские навыки и зарабатывая этим на жизнь. По окончании одного из своих выступлений он встречает свою бывшую девушку - Ромину, вскоре узнав, что у нее от него годовалый сын - Джейсон. Решив обеспечивать сына он бросает свою работу каскадера, однако Ромина против того, чтобы Люк был в жизни ее сына, поскольку она сама вовлечена в отношения с Кофи. Тем не менее, Люк остается в городе и устраивается на работу к механику Робину, но вскоре понимает, что заработанных денег не хватает для обеспечения семьи. Робин предлагает ему ограбить банк...",7.336,10.0,123382.0,"['триллер', 'драма', 'криминал']",True,Сидни Киммел,Дерек Сиенфрэнс,['США'],140,2012
1074,Экстаз,Из-за наркотика в выпивке вечеринка танцоров превращается в безумный хаос. Провокационный триллер Гаспара Ноэ. Смотрите онлайн на Кинопоиске.,6.898,10.0,55912.0,"['триллер', 'драма']",False,Брагим Шиуа,Гаспар Ноэ,"['Франция', 'Бельгия']",97,2018
1075,Головоломка,Пять человеческих эмоций должны договориться и помочь девочке справиться с собой. «Оскар» за лучший мультфильм. Смотрите онлайн на Кинопоиске.,8.059,10.0,520576.0,"['мультфильм', 'семейный', 'комедия']",True,Джон Лассетер,Пит Доктер,['США'],95,2015
1076,Общество мертвых поэтов,"Джон Китинг — новый преподаватель английской словесности в консервативном американском колледже. От чопорной массы учителей его выгодно отличают легкость общения, эксцентричное поведение и пренебрежение к программе обучения. 

Однажды он посвящает своих подопечных в тайну Общества мёртвых поэтов. С этого момента каждый из учеников старается обрести свой собственный голос в безликом хоре, взглянуть на окружающий мир, высоко подпрыгнув над серой школьной оградой.",8.232,10.0,187154.0,['драма'],True,Стивен Хафт,Питер Уир,['США'],128,1989
1077,Пролетая над гнездом кукушки,"Рэндла Патрика Макмёрфи, патологического преступника и бунтаря, переводят из колонии в психиатрическую клинику, чтобы установить, является он душевнобольным или нет. В клинике он обнаруживает, что отделение контролирует хладнокровная, строгая и одержимая распорядком старшая медсестра Милдред Рэтчед. Макмёрфи намерен не подчиняться абсурдным, на его взгляд, правилам и одновременно повеселиться от души. Его бунтарская натура заражает других пациентов, но сестра Рэтчед решительно настроена пресечь это.",8.521,10.0,314343.0,['драма'],False,Майкл Дуглас,Милош Форман,['США'],133,1975
1078,Рождественская история,Призраки помогают злому скряге увидеть его жизнь со стороны. Анимированный Джим Керри в экранизации Диккенса. Смотрите онлайн на Кинопоиске.,7.723,10.0,138875.0,"['мультфильм', 'фэнтези', 'драма', 'комедия', 'приключения', 'семейный']",True,Стивен Дж. Бойд,Роберт Земекис,['США'],96,2009
1079,Трансформеры,"Сэм хочет крутую тачку, а получает живого робота. Начало масштабной франшизы Майкла Бэя о машинах и людях. Смотрите онлайн на Кинопоиске.",7.565,10.0,315580.0,"['фантастика', 'боевик']",True,Йен Брайс,Майкл Бэй,['США'],143,2007
1080,Проект «Адам»,Путешествующий во времени пилот Адам Рид совершает аварийную посадку в 2022 году и вместе с собой 12-летним отправляется спасать будущее.,6.567,10.0,53184.0,"['фантастика', 'боевик', 'комедия', 'приключения']",True,Дэн Коэн,Шон Леви,['США'],106,2022
1081,Паранормальные явления. Дом призраков,"Когда-то Шон был популярным видеоблогером, сделавшим имя на экстремальных роликах, в которых он бросал вызов собственным страхам, но однажды вляпался в скандал и потерял всех спонсоров. Записав видео с извинениями и снова получив финансирование, парень возвращается с новым леденящим душу проектом. Шон собирается провести ночной стрим из дома с привидениями, где более 100 лет назад повесилась одинокая женщина, а после неоднократно фиксировалась паранормальная активность.",5.703,10.0,3719.0,"['ужасы', 'комедия']",True,Джаред Кук,Джозеф Винтер,"['США', 'Великобритания']",87,2022
1082,Искупление,Семейная трагедия и Вторая мировая война разлучают влюбленных. Щемящая драма о предательстве и покаянии. Смотрите онлайн на Кинопоиске.,8.007,10.0,191705.0,"['драма', 'мелодрама', 'детектив', 'военный']",False,Тим Беван,Джо Райт,"['Великобритания', 'Франция', 'США']",120,2007
1083,Заклятие,"Эд и Лоррейн Уоррены — детективы, которые расследуют паранормальные дела. Однажды к ним обращается семья, страдающая от злого духа. Уоррены, вынужденные сражаться с могущественной демонической сущностью, сталкиваются с самым пугающим случаем в своей жизни.",7.351,10.0,205611.0,"['ужасы', 'детектив']",True,Роб Кауэн,Джеймс Ван,['США'],112,2013
1084,Кит,"Чарли когда-то бросил семью ради любовника, а теперь пытается восстановить отношения со своей дочерью-подростком Лиз.",,,,['драма'],,Даррен Аронофски,Даррен Аронофски,['США'],117,2022
1085,Леон,"Профессиональный убийца Леон неожиданно для себя самого решает помочь 12-летней соседке Матильде, семью которой убили коррумпированные полицейские.",8.67,10.0,576208.0,"['боевик', 'триллер', 'драма', 'криминал']",True,Клод Бессон,Люк Бессон,"['Франция', 'США']",133,1994
1086,Призрак в доспехах,"Киборг-спецназовец ищет суперхакера. Боевик со Скарлетт Йоханссон по манге, которая предвосхитила «Матрицу». Смотрите онлайн на Кинопоиске.",6.433,10.0,148423.0,"['фантастика', 'боевик', 'триллер', 'драма', 'криминал', 'детектив']",True,Майкл Костиган,Руперт Сандерс,"['США', 'Индия', 'Гонконг', 'Китай', 'Канада']",106,2017
1087,Время,"Добро пожаловать в мир, где время стало единственной и самой твердой валютой, где люди генетически запрограммированы так, что в 25 лет перестают стареть. Правда, последующие годы стоят денег. И вот богатые становятся практически бессмертными, а бедные обречены сражаться за жизнь. Уилл, бунтарь из гетто, несправедливо обвинен в убийстве с целью грабежа времени и теперь вынужден, захватив заложницу, пуститься в бега.",7.276,10.0,437173.0,"['фантастика', 'мелодрама', 'боевик']",True,Марк Абрахам,Эндрю Никкол,['США'],109,2011
1088,Не время умирать,"Джеймс Бонд оставил оперативную службу и наслаждается спокойной жизнью на Ямайке. Все меняется, когда на острове появляется его старый друг Феликс Лейтер из ЦРУ с просьбой о помощи. Миссия по спасению похищенного ученого оказывается опаснее, чем предполагалось изначально. Бонд попадает в ловушку таинственного злодея, вооруженного опасным биологическим оружием.",7.036,10.0,129088.0,"['боевик', 'триллер', 'приключения']",True,Пер Генри Борх,Кэри Дзёдзи Фукунага,"['Великобритания', 'США']",163,2020
1089,Как приручить дракона 3,Повзрослевшие Иккинг и Беззубик ищут тайный мир драконов. Продолжение мульт-саги по книгам Крессиды Коуэлл. Смотрите онлайн на Кинопоиске.,7.72,10.0,253546.0,"['мультфильм', 'фэнтези', 'боевик', 'драма', 'мелодрама', 'комедия', 'приключения', 'семейный']",True,Бонни Арнольд,Дин ДеБлуа,"['США', 'Япония']",104,2019
1090,Дело храбрых,Пожарные пытаются остановить стихию в лесах Аризоны. Джефф Бриджес и Джош Бролин в драме по реальным событиям. Смотрите онлайн на Кинопоиске.,8.09,10.0,194204.0,"['боевик', 'драма', 'биография']",True,Лоренцо Ди Бонавентура,Джозеф Косински,['США'],134,2017
