,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
306,Жизнь прекрасна,"Во время Второй мировой войны из Италии в концлагерь были отправлены евреи - отец с маленьким сыном. Жена-итальянка добровольно последовала за ними. В лагере отец сказал мальчику, что всё происходящее вокруг является большой интересной игрой за приз в виде настоящего танка. И этот классный приз достанется тому мальчику, который сможет не попасться на глаза надзирателям.",8.621,10.0,229458.0,"['военный', 'комедия', 'драма', 'мелодрама']",True,Джанлуиджи Браски,Роберто Бениньи,['Италия'],116,1997
307,Леон,"Профессиональный убийца Леон неожиданно для себя самого решает помочь 12-летней соседке Матильде, семью которой убили коррумпированные полицейские.",8.67,10.0,576205.0,"['боевик', 'триллер', 'драма', 'криминал']",True,Клод Бессон,Люк Бессон,"['Франция', 'США']",133,1994
308,Крестный отец,В семье крупного нью-йоркского мафиози наметился кризис. Революция в гангстерском кино и начало большого эпоса. Смотрите онлайн на Кинопоиске.,8.713,10.0,345895.0,"['драма', 'криминал']",True,Грэй Фредериксон,Фрэнсис Форд Коппола,['США'],175,1972
309,Операция «Ы» и другие приключения Шурика,Похождения хронически оптимистичного очкарика. Блистательная комедия Леонида Гайдая. Смотрите онлайн на Кинопоиске.,8.703,10.0,725832.0,"['комедия', 'мелодрама', 'криминал']",True,,,['СССР'],95,1965
310,Назад в будущее 2,"Док и Марти решили исправить будущее, но сперва сломали все окончательно. Таким виделся 2015 год из 1989-го
. Смотрите онлайн на Кинопоиске.",8.311,10.0,395451.0,"['фантастика', 'приключения', 'боевик', 'комедия', 'семейный']",True,Нил Кэнтон,Роберт Земекис,['США'],108,1989
311,Брат 2,"Американцы знакомятся с Данилой Багровым и узнают, в чем сила. Сиквел о герое времени с мощным рок-саундтреком
. Смотрите онлайн на Кинопоиске.",8.164,10.0,755820.0,"['боевик', 'криминал']",True,Валери Гобо,,"['Россия', 'США']",127,2000
312,Собачье сердце,Профессор Преображенский превращает пса Шарика в человека. Экранизация одноименной повести Михаила Булгакова. Смотрите онлайн на Кинопоиске.,8.363,10.0,295333.0,"['фантастика', 'драма', 'комедия']",True,,,['СССР'],136,1988
313,Пираты Карибского моря: Сундук мертвеца,Джек Воробей и друзья выступают против морских гадов с «Летучего голландца». Вторая часть пиратской киносаги. Смотрите онлайн на Кинопоиске.,8.126,10.0,543140.0,"['фэнтези', 'боевик', 'приключения']",True,Джерри Брукхаймер,Гор Вербински,['США'],151,2006
314,Служебный роман,"Робкий холостяк решает приударить за строгой начальницей. Комедия Эльдара Рязанова, классика советского кино. Смотрите онлайн на Кинопоиске.",8.309,10.0,422214.0,"['мелодрама', 'комедия', 'драма']",True,,,['СССР'],159,1977
315,Запах женщины,Слепой полковник едет кутить в Нью-Йорк под присмотром бедного студента. Заслуженный «Оскар» Аль Пачино. Смотрите онлайн на Кинопоиске.,8.448,10.0,273880.0,['драма'],True,Мартин Брест,Мартин Брест,['США'],156,1992
316,Офицеры,Войны и время не смогли порвать связь между судьбами Алексея и Ивана. Советская драма о дружбе длиною в жизнь . Смотрите онлайн на Кинопоиске.,8.475,10.0,178871.0,"['драма', 'военный', 'мелодрама']",True,,,['СССР'],91,1971
317,Зеленая книга,Путешествие итальянца-вышибалы и чернокожего пианиста по Америке 1960-х. «Оскар» за лучший фильм. Смотрите онлайн на Кинопоиске.,8.383,10.0,716223.0,"['биография', 'комедия', 'драма']",True,Джим Бёрк,Питер Фаррелли,"['США', 'Китай']",130,2018
318,Хатико: Самый верный друг,"Преданный пес каждый день встречает хозяина на вокзале, что бы ни случилось. История, которая потрясла мир. Смотрите онлайн на Кинопоиске.",8.343,10.0,458057.0,"['драма', 'семейный', 'биография']",True,Джефф Абберли,Лассе Халльстрём,"['США', 'Великобритания']",89,2008
319,Матрица,"Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он бы не смог проникнуть. Но однажды всё меняется. Томас узнаёт ужасающую правду о реальности.",8.497,10.0,652578.0,"['фантастика', 'боевик']",True,Джоэл Силвер,Лана Вачовски,"['США', 'Австралия']",136,1999
320,Судьба человека,"Советский шофер попадает в концлагерь, но не падает духом. Драма Сергея Бондарчука с ним же в главной роли. Смотрите онлайн на Кинопоиске.",8.399,10.0,114859.0,"['драма', 'военный']",True,,,['СССР'],97,1959
321,Пианист,Ужасы Холокоста глазами музыканта. Выдающаяся роль Эдриана Броуди и «Золотая пальмовая ветвь» в Каннах. Смотрите онлайн на Кинопоиске.,8.46,10.0,304475.0,"['драма', 'военный', 'биография', 'музыка']",True,Роберт Бенмусса,Роман Полански,"['Франция', 'Польша', 'Великобритания', 'Германия']",149,2002
322,Как приручить дракона,"Сын вождя заводит дружбу с врагом племени, драконом. История о том, что ум и сочувствие куда важнее силы. Смотрите онлайн на Кинопоиске.",8.211,10.0,524204.0,"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный']",True,Бонни Арнольд,Дин ДеБлуа,['США'],98,2010
323,Один дома,Мальчик-озорник задает жару грабителям. Лучшая комедия для создания праздничного настроения у всей семьи. Смотрите онлайн на Кинопоиске.,8.256,10.0,806830.0,"['комедия', 'семейный']",True,Тарквин Готч,Крис Коламбус,['США'],103,1990
324,Бриллиантовая рука,Контрабандисты гоняются за примерным семьянином. Народная комедия с элементами абсурда от Леонида Гайдая . Смотрите онлайн на Кинопоиске.,8.509,10.0,574201.0,"['комедия', 'криминал']",True,,,['СССР'],94,1968
325,Зверополис,Отважная крольчиха делает карьеру в полиции звериного города. Оскароносная комедия с серьезным подтекстом. Смотрите онлайн на Кинопоиске.,8.308,10.0,831479.0,"['мультфильм', 'комедия', 'криминал', 'детектив', 'приключения', 'семейный']",True,Моника Лаго-Кэйтис,Байрон Ховард,['США'],108,2016
326,Девчата,"Юная повариха привносит жизни в маленький сибирский поселок. Фильм-эпоха, воспитавший не одно поколение. Смотрите онлайн на Кинопоиске.",8.369,10.0,445685.0,"['мелодрама', 'комедия']",True,,,['СССР'],92,1962
327,Шерлок Холмс и доктор Ватсон: Знакомство,Увлекательные приключения самого известного сыщика всех времен. Смотрите онлайн на Кинопоиске.,8.56,10.0,167641.0,"['криминал', 'детектив']",True,,,['СССР'],68,1979
328,Темный рыцарь: Возрождение легенды,Анархист в маске грозит взорвать Готэм и уничтожить Бэтмена. Грандиозный финал трилогии Кристофера Нолана. Смотрите онлайн на Кинопоиске.,8.161,10.0,464252.0,"['фантастика', 'боевик', 'триллер', 'драма', 'криминал']",True,Кристофер Нолан,Кристофер Нолан,"['США', 'Великобритания']",165,2012
329,Крестный отец 2,"Юность Вито Корлеоне и первые шаги его сына Майкла во главе клана — сразу и приквел, и сиквел. Шесть «Оскаров». Смотрите онлайн на Кинопоиске.",8.528,10.0,190002.0,"['драма', 'криминал']",True,Фрэнсис Форд Коппола,Фрэнсис Форд Коппола,['США'],202,1974
330,Гарри Поттер и Тайная комната,"Домашний эльф, магический дневник и привидение. Второй год Гарри в школе Хогвартс — еще более захватывающий. Смотрите онлайн на Кинопоиске.",8.086,10.0,498024.0,"['фэнтези', 'приключения', 'семейный']",True,Дэвид Хейман,Крис Коламбус,"['Великобритания', 'США']",161,2002
